reading,filename,is_anomaly,anomaly_score,mean,std,max,min,rms,peak_to_peak,crest_factor,kurtosis,skewness,shape_factor,impulse_factor
1,2003.10.22.12.06.24,True,-0.05064095352128872,-0.0942364990234375,0.07588512352615226,0.5445,-0.6419999999999999,0.12105348617423652,1.1865,4.539962233458191,2.067523174191832,0.09506160013967434,1.1842795832576614,5.359075937537998
2,2003.10.22.12.09.13,False,0.06246157998720214,-0.09439687499999999,0.07452225675341674,0.4845,-0.5725,0.12032185469548369,1.057,4.05336729410417,1.581283805946069,0.028211666467674895,1.1822684112910724,4.780929812607503
3,2003.10.22.12.14.13,False,0.06276353657162359,-0.0960247802734375,0.07484031115170917,0.43300000000000005,-0.546,0.12181540523386897,0.979,3.584222623396334,1.4776183805519034,0.05470216028418154,1.1791499106394392,4.212368915668161
4,2003.10.22.12.19.13,False,0.09996878075670212,-0.0954596435546875,0.07604494946644261,0.496,-0.536,0.12210101514453016,1.032,4.072929732725191,1.3898315108188255,0.052327713895916096,1.1825861577640195,4.81196788800161
5,2003.10.22.12.24.13,False,0.12994444595344706,-0.095314013671875,0.07709359280606079,0.387,-0.5800000000000001,0.12265331606231977,0.9670000000000001,3.156882210566237,1.145661929362805,0.017844177355949543,1.1850906865539197,3.7402488783818724
6,2003.10.22.12.29.13,False,0.032398488874402775,-0.09555043945312501,0.0767873619319518,0.5675,-0.5774999999999999,0.12263552592051152,1.145,4.661222531005777,1.5326442519112606,0.03234407443577328,1.1848942309771475,5.507782187523048
7,2003.10.22.12.34.13,False,0.1304147626485042,-0.0952057373046875,0.07604985353601784,0.41000000000000003,-0.5835,0.12191309837943709,0.9935,3.358965759129906,0.9626504703764578,0.018932920768445112,1.1829555822606235,3.9751435062752547
8,2003.10.22.12.39.13,False,0.12313380552092168,-0.0955724853515625,0.0755859853506212,0.40900000000000003,-0.554,0.12189731021647973,0.963,3.3635533782073486,1.097076339861566,0.01998423299918363,1.1824076184189614,3.9734775153055946
9,2003.10.22.12.44.13,False,0.10677430755222339,-0.09549982910156249,0.07630896021701618,0.496,-0.58,0.12228670745605272,1.076,4.075931617620473,1.302950591131197,0.05623911939166156,1.1817435333872037,4.8085193355219165
10,2003.10.22.12.49.13,False,0.13523593020178287,-0.09479807128906251,0.07634088986863122,0.469,-0.5800000000000001,0.12177584797984123,1.049,3.8516995082784793,1.2127766484553955,0.054480887514045756,1.1838515036727486,4.559667292630412
11,2003.10.22.12.54.13,True,-0.015823979976151703,-0.095508837890625,0.07615873386581831,0.315,-0.535,0.12221863117145437,0.85,2.584100596096799,0.9060633470478194,-0.0034601564813776,1.1832529153033748,3.0542159387027725
12,2003.10.22.12.59.13,False,0.08816342784196596,-0.095355517578125,0.07570661853968727,0.39649999999999996,-0.524,0.12182688852921207,0.9205,3.264743597121136,0.9374198034449555,0.01940121877725688,1.183465654229125,3.8575874509695627
13,2003.10.22.13.04.13,False,0.06650919462167981,-0.09521071777343748,0.07495042398973914,0.4445,-0.5215000000000001,0.12123980484566237,0.966,3.6862677090157243,1.0950817934898835,0.00279505587054011,1.1814755930229413,4.3443465224991655
14,2003.10.22.13.09.13,False,0.10154305830982607,-0.09531728515624999,0.07514363484604544,0.4125,-0.5529999999999999,0.12143492557542536,0.9655,3.3974411637473945,1.2194850571298317,0.03449607346760433,1.1816712277250274,4.0143845928497734
15,2003.10.22.13.14.13,False,0.05352115768442245,-0.0954250244140625,0.07529002743323415,0.3575,-0.62,0.12160528907472976,0.9774999999999999,2.9572050295663104,0.9681064646108544,-0.009597157525980865,1.1830617358954376,3.4903370726692704
16,2003.10.22.13.19.13,False,0.11986872717359648,-0.09544389648437501,0.08199188395033113,0.488,-0.5245,0.12585542721219023,1.0125,3.8979403035351514,0.9170460448209794,0.03736158478196358,1.1924734681074889,4.642019426071963
17,2003.10.22.13.24.13,False,0.12826447559640186,-0.09542258300781249,0.07680338135910392,0.476,-0.5385,0.12257352868655967,1.0145,3.8981508903154536,1.0644155679853402,0.023309090502603255,1.1839141628472136,4.608764787699842
18,2003.10.22.13.29.13,False,0.07009715042638986,-0.095821240234375,0.07832841097722243,0.4505,-0.502,0.1238414479330187,0.9525,3.6591793663699086,1.498457168158958,0.07407752220284053,1.1857668768763512,4.328653726856222
19,2003.10.22.13.34.13,False,0.12850056666607784,-0.09481743164062499,0.07740169518366254,0.4065,-0.579,0.12248519488312412,0.9855,3.338898145305309,1.120605505077285,-0.01107723561664797,1.1876062137729346,3.954951535647597
20,2003.10.22.13.39.13,False,0.09180863644967063,-0.09584794921875,0.07695219639946968,0.38949999999999996,-0.5375,0.1229799680514845,0.9269999999999999,3.1916404215943306,1.1155189602140165,0.007175582018572393,1.1851525991643006,3.7695540238760246
21,2003.10.22.13.44.13,False,0.09304146018851289,-0.094997900390625,0.07718239199539442,0.45199999999999996,-0.5405,0.12247959555111673,0.9925,3.7265749085517457,1.6130532596490252,0.07788242409297268,1.1846289776480166,4.399014272603379
22,2003.10.22.13.49.13,False,0.14360317604442568,-0.095584423828125,0.07896250589932716,0.437,-0.5409999999999999,0.12404726463073759,0.978,3.5412423014379195,1.1232082254604867,0.04806510330649083,1.1863129488270592,4.193086667065056
23,2003.10.22.13.54.13,False,0.07531619738388662,-0.0949225341796875,0.07792460668205622,0.365,-0.5740000000000001,0.12289978716565196,0.9390000000000001,2.9685670286561976,1.0335041869545303,0.05681928325869977,1.1847077619407198,3.517610586155233
24,2003.10.22.13.59.13,False,0.012286607116682835,-0.09534470214843749,0.07950444497550749,0.325,-0.5785,0.12423974215464309,0.9035000000000001,2.6168624987566433,1.0152262046914302,-0.03024957140410494,1.1901397445888229,3.1139604015807723
25,2003.10.22.14.04.13,False,0.07020408797848332,-0.09362387695312499,0.07835617541404914,0.4445,-0.4895,0.12216683616173891,0.9339999999999999,3.652014996322279,1.0000009289058969,0.055078780106908955,1.1887626112854006,4.335179322418509
26,2003.10.22.14.09.13,False,0.12786167327743037,-0.0944338623046875,0.077207367300989,0.454,-0.6094999999999999,0.12204598937868773,1.0635,3.7469944267190396,1.3231349886999229,0.03361101421952034,1.1865020815482925,4.434296047883121
