reading,filename,is_anomaly,anomaly_score,bearing1_ch1_mean,bearing1_ch1_std,bearing1_ch1_max,bearing1_ch1_min,bearing1_ch1_rms,bearing1_ch1_peak_to_peak,bearing1_ch1_crest_factor,bearing1_ch1_kurtosis,bearing1_ch1_skewness,bearing1_ch1_shape_factor,bearing1_ch1_impulse_factor,bearing1_ch2_mean,bearing1_ch2_std,bearing1_ch2_max,bearing1_ch2_min,bearing1_ch2_rms,bearing1_ch2_peak_to_peak,bearing1_ch2_crest_factor,bearing1_ch2_kurtosis,bearing1_ch2_skewness,bearing1_ch2_shape_factor,bearing1_ch2_impulse_factor,bearing2_ch1_mean,bearing2_ch1_std,bearing2_ch1_max,bearing2_ch1_min,bearing2_ch1_rms,bearing2_ch1_peak_to_peak,bearing2_ch1_crest_factor,bearing2_ch1_kurtosis,bearing2_ch1_skewness,bearing2_ch1_shape_factor,bearing2_ch1_impulse_factor,bearing2_ch2_mean,bearing2_ch2_std,bearing2_ch2_max,bearing2_ch2_min,bearing2_ch2_rms,bearing2_ch2_peak_to_peak,bearing2_ch2_crest_factor,bearing2_ch2_kurtosis,bearing2_ch2_skewness,bearing2_ch2_shape_factor,bearing2_ch2_impulse_factor,bearing3_ch1_mean,bearing3_ch1_std,bearing3_ch1_max,bearing3_ch1_min,bearing3_ch1_rms,bearing3_ch1_peak_to_peak,bearing3_ch1_crest_factor,bearing3_ch1_kurtosis,bearing3_ch1_skewness,bearing3_ch1_shape_factor,bearing3_ch1_impulse_factor,bearing3_ch2_mean,bearing3_ch2_std,bearing3_ch2_max,bearing3_ch2_min,bearing3_ch2_rms,bearing3_ch2_peak_to_peak,bearing3_ch2_crest_factor,bearing3_ch2_kurtosis,bearing3_ch2_skewness,bearing3_ch2_shape_factor,bearing3_ch2_impulse_factor,bearing4_ch1_mean,bearing4_ch1_std,bearing4_ch1_max,bearing4_ch1_min,bearing4_ch1_rms,bearing4_ch1_peak_to_peak,bearing4_ch1_crest_factor,bearing4_ch1_kurtosis,bearing4_ch1_skewness,bearing4_ch1_shape_factor,bearing4_ch1_impulse_factor,bearing4_ch2_mean,bearing4_ch2_std,bearing4_ch2_max,bearing4_ch2_min,bearing4_ch2_rms,bearing4_ch2_peak_to_peak,bearing4_ch2_crest_factor,bearing4_ch2_kurtosis,bearing4_ch2_skewness,bearing4_ch2_shape_factor,bearing4_ch2_impulse_factor
1,2003.10.22.12.06.24,False,0.014470530413784877,-0.09459287109375,0.08112208481351546,0.388,-0.72,0.12461381908219489,1.108,3.1136193630665985,1.0691627552880787,-0.02999276480060533,1.1965547834713253,3.7256161427862793,-0.093880126953125,0.07064816223878904,0.701,-0.564,0.11749315326627814,1.265,5.966305103849782,3.0658835930955854,0.220115965079954,1.1720043830439975,6.992535732289716,-0.09381650390625,0.0906479137039076,0.359,-0.674,0.1304552822390205,1.033,2.75190083405162,0.2094859555668589,-0.09207326343968071,1.2174903712886587,3.350412768199076,-0.093751513671875,0.07750778956980943,0.256,-0.53,0.12164211343019993,0.786,2.1045342996847607,0.2922212028583129,-0.05318261484126797,1.1925486168962875,2.5097594682998583,-0.090811865234375,0.09146079412059213,0.4,-0.496,0.12888705027471,0.896,3.10349254752467,0.40543851957733956,0.03437157484715235,1.2142146792022623,3.7683062079992795,-0.090880615234375,0.09548571481434207,0.415,-0.784,0.1318211210655727,1.199,3.1482056642012903,0.7770628012971268,-0.022223385658195222,1.2188548968136588,3.8372058899882395,-0.09096875,0.060084554678698415,0.249,-0.413,0.10902048975995292,0.6619999999999999,2.2839743294885335,0.7902499085116994,0.04660895632822837,1.1499542283818085,2.626465937710845,-0.094235205078125,0.06638000658537441,0.374,-0.471,0.1152674244979501,0.845,3.2446287546456904,1.8079901941922039,0.008294801418333268,1.158289801345497,3.758220395658444
2,2003.10.22.12.09.13,False,0.018904761701577566,-0.09490263671875,0.07951541832160738,0.388,-0.654,0.12381119580648291,1.042,3.1338038331076667,1.1615516080690735,-0.07007492602776744,1.1944897522304445,3.7432965641475944,-0.09389111328125,0.0695290951852261,0.581,-0.491,0.11683251358448447,1.072,4.9729307551006725,2.0010160038230644,0.12649825896311723,1.1700470703517003,5.818563061067411,-0.09561953124999999,0.09025796942271372,0.291,-0.645,0.13148990760047422,0.9359999999999999,2.2130976081007643,0.22938393773808308,-0.10144053310086137,1.2153616675577403,2.689713999449391,-0.09507626953125,0.07673906708667759,0.242,-0.625,0.12218175577929996,0.867,1.9806557734947827,0.29164536124204865,-0.03298679341486212,1.187129945394419,2.351295780234002,-0.09149619140625,0.09173211723900666,0.493,-0.566,0.12956208695061994,1.059,3.8051254931382616,0.4457176371791842,0.0010971366195919896,1.214723154428645,4.622174042021762,-0.09235102539062501,0.09438343026256389,0.417,-0.576,0.13204902043872996,0.9929999999999999,3.1579181626226887,0.6822767226064128,-0.02882165215151703,1.217566041405717,3.844973916347722,-0.0912599609375,0.05941987858530362,0.376,-0.42,0.1088995061577703,0.796,3.452724564749289,1.2347026296422179,0.08516394109221063,1.1454639745660515,3.954971603019561,-0.08794619140625,0.0647443555631801,0.273,-0.627,0.1092078942208678,0.9,2.4998192845644516,1.8731890659103883,-0.053791927622465874,1.1669397207181464,2.9171384177754778
3,2003.10.22.12.14.13,False,0.03172256146325608,-0.09618681640625,0.08021689203402925,0.317,-0.623,0.125246370877438,0.94,2.5310114598865767,0.9862855011841294,-0.041645950337267784,1.192411135838513,3.018006249703646,-0.09586274414062498,0.06946373026938908,0.549,-0.469,0.11838443959029993,1.018,4.637433786906092,1.9689512599196775,0.15105027090563086,1.1658886854403652,5.406731581632678,-0.096212548828125,0.09023435951703092,0.339,-0.613,0.13190562607202594,0.952,2.570019263733997,0.20870083564632536,-0.09207212245719794,1.2151792058434046,3.1230339679065295,-0.096572607421875,0.07709636511093464,0.286,-0.432,0.12357231897790916,0.718,2.3144341901613723,0.17329600007190127,-0.028980069776008126,1.1877308597794207,2.7489249105832543,-0.09391645507812499,0.09181285420887646,0.386,-0.601,0.1313388774598819,0.987,2.9389622285899737,0.3897116646700143,0.05307168803592046,1.2078152262148363,3.549723328961259,-0.094459765625,0.09405497759758687,0.364,-0.62,0.1333003605877062,0.984,2.7306752839614625,0.7504216106161659,0.019638942811412468,1.2131354027072214,3.3126788602712454,-0.092596875,0.05996787461906688,0.261,-0.396,0.11031920615239103,0.657,2.365861839501128,0.924708311156412,0.009609433087319,1.147279409943111,2.714304575229777,-0.093106201171875,0.06525336662637964,0.376,-0.601,0.11369593903361006,0.977,3.307066225899672,1.4296947985108819,0.047138316064785836,1.156621389195893,3.8250235323628976
4,2003.10.22.12.19.13,False,0.08207335868602644,-0.095612744140625,0.08082454644654682,0.457,-0.598,0.1251974606387471,1.055,3.6502337800497213,1.034293509537969,0.005161593911021142,1.1935217615602007,4.3566334512714935,-0.09530654296874999,0.0712653524863384,0.535,-0.474,0.11900456965031322,1.009,4.49562568540066,1.745369512099682,0.09949383388081105,1.1716505539678383,5.267302324731727,-0.09577695312500001,0.0902722150425329,0.286,-0.598,0.13161419968450877,0.8839999999999999,2.173017810278587,0.18902378875599224,-0.10579914095127005,1.2169575774154595,2.644470490077276,-0.09597460937499999,0.07652793696792147,0.244,-0.483,0.12275035959723296,0.727,1.9877742175306854,0.3198307559352016,-0.050403666220879745,1.1873774281017617,2.360238238058577,-0.09299296874999999,0.09238509252934303,0.322,-0.552,0.13108278894879277,0.8740000000000001,2.456462839875864,0.26196161292893105,-0.0236535372455152,1.2129069721196366,2.9794609052382377,-0.092921875,0.0965051657761613,0.352,-0.684,0.1339691079129812,1.036,2.6274714035465503,0.6672126480333911,-0.008528412620583492,1.2178393538580945,3.1998380763757517,-0.093484765625,0.059915339542099474,0.198,-0.393,0.11103715286518405,0.591,1.7831869323991227,0.6526669576826394,-0.03725855560667609,1.1469206645155832,2.045173941462706,-0.09324399414062498,0.0663013840240154,0.327,-0.525,0.11441291870587374,0.8520000000000001,2.8580688588203325,1.3781844935484138,0.021105567005503652,1.1603738544319893,3.316428377941386
5,2003.10.22.12.24.13,False,0.07341856051426782,-0.095133056640625,0.0820342530464166,0.388,-0.623,0.12561814016563005,1.0110000000000001,3.088725875804356,1.1101636617292412,-0.06019562911077546,1.1989239994986054,3.703147580374191,-0.09549497070312499,0.072152932565705,0.386,-0.537,0.11968849195900948,0.923,3.2250385453281174,1.1811601969963688,0.09588398382267455,1.1712573736092338,3.7773501763895543,-0.095951806640625,0.08886140494460032,0.349,-0.725,0.13077881512817022,1.0739999999999998,2.6686279399148964,0.2608572527887576,-0.09198073942291451,1.2115563812696186,3.233193209838289,-0.09522880859375,0.0760445175060055,0.266,-0.571,0.12186588788051497,0.837,2.182727296590193,0.34082436744566325,-0.04449319937716858,1.1874782963517267,2.5919412915553326,-0.093756103515625,0.0919316239032537,0.471,-0.527,0.13130738905302275,0.998,3.5870030117635436,0.32619163438186893,0.027080474594086086,1.2107310546026642,4.342895939295408,-0.09343769531249999,0.09504276753701286,0.432,-0.623,0.1332806458808114,1.055,3.241280811216384,0.47530327852300047,-0.0248282527245403,1.218852117791507,3.9506419811080633,-0.09290170898437501,0.059255176436994704,0.215,-0.376,0.1101903056842882,0.591,1.9511698299123277,0.6355755113658592,0.03651447444358593,1.1435354527878603,2.2312318749148057,-0.09306953124999999,0.06627860046990297,0.349,-0.522,0.1142575622326319,0.871,3.0545024169991066,1.4976534755139905,0.008626086773313104,1.160349134211185,3.544289235010885
6,2003.10.22.12.29.13,True,-0.002017553110597592,-0.09588237304687501,0.08172865727368384,0.432,-0.564,0.12598810610870922,0.996,3.4288951024253627,1.094878105931298,-0.05418269738284589,1.1972882574446015,4.105375842143191,-0.09521850585937501,0.07184606659021978,0.703,-0.591,0.11928294573231384,1.294,5.89354995958619,1.9704103978912233,0.11887084625439245,1.1725002045096937,6.910188532902906,-0.09453183593749999,0.08986757380952588,0.322,-0.701,0.13043177844423118,1.023,2.4687235261280884,0.2270896132264486,-0.048990764537584025,1.2113139509903916,2.990399248337146,-0.09484746093749999,0.07628022757276726,0.237,-0.427,0.12171570960580129,0.6639999999999999,1.947160319465483,0.1434839741821543,-0.03499562150279656,1.189695349022042,2.316527575868359,-0.09273471679687499,0.09353487289288293,0.354,-0.522,0.13171370523405823,0.876,2.687647419613122,0.32404101538282637,-0.014676552606726477,1.213830477146666,3.2623483497510013,-0.09330078125,0.0962993651784094,0.464,-0.559,0.134084314950053,1.0230000000000001,3.460509159276699,0.5889135713818496,0.0624604687190815,1.2139916879577635,4.201029355463621,-0.10476884765625001,0.05860547787830058,0.159,-0.4,0.12004629722137414,0.559,1.3244889986635107,0.687222692847389,0.006677771742101784,1.1222383558782694,1.4863923562389934,-0.09304150390625,0.06540275190780022,0.251,-0.43,0.11372880640475394,0.681,2.2070046097793923,1.1280423344947472,-0.005512010552222161,1.158326854244904,2.556432706949765
7,2003.10.22.12.34.13,False,0.0162065585056006,-0.09557329101562499,0.08131324281168492,0.439,-0.667,0.1254834547345162,1.106,3.498469188059788,0.8877725171466064,-0.020952986674581734,1.1946844042887994,4.179566577859927,-0.09483818359375,0.07078646426035078,0.381,-0.5,0.118342742024358,0.881,3.2194623302000247,1.0375284236063091,0.05881882821147196,1.1712267602324478,3.770720434690582,-0.0953537109375,0.09066465773392736,0.261,-0.598,0.13157663299979408,0.859,1.9836348905539214,0.12525238726613486,-0.08325468593673271,1.215113626820077,2.4103417861478222,-0.095098046875,0.07678910760626505,0.256,-0.464,0.12223013362672173,0.72,2.094409884078158,0.20562393809453683,-0.04182868250693889,1.1890678196667652,2.4903953943493375,-0.093152490234375,0.09215323854147256,0.31,-0.508,0.13103284248823602,0.8180000000000001,2.365819088659635,0.24683324718305544,0.017206062062929482,1.2092296248280698,2.860818528990976,-0.0929431640625,0.09513800826868545,0.388,-0.596,0.13300252765748946,0.984,2.917237791143223,0.43614816996547834,0.012688336684931684,1.2133321127184817,3.539578292430004,-0.018549267578125,0.06349368981973323,0.332,-0.308,0.06614774353376973,0.64,5.019067654673775,0.6141699719688338,-0.013039508689516671,1.278886973356183,6.41882024195566,-0.09225097656249999,0.06471112264191972,0.283,-0.466,0.11268439142273655,0.749,2.511439219104648,1.2382990766703248,-0.06830509056320304,1.1609023401077536,2.915535666496975
8,2003.10.22.12.39.13,False,0.03222077724385475,-0.095951806640625,0.08022926238371189,0.381,-0.603,0.12507391310834717,0.984,3.046198767843403,0.8999733665365781,-0.014220339063819237,1.193794325678278,3.6365348039396164,-0.0951931640625,0.07094270831753048,0.437,-0.505,0.11872070732461229,0.942,3.6809079885712945,1.2941793131865538,0.05418880506218649,1.1710209111596448,4.310420226671573,-0.094996337890625,0.08876004254508095,0.264,-0.613,0.13001018946695822,0.877,2.030610070506012,0.13907963677916957,-0.06986409570324577,1.211687186894974,2.4604642040120344,-0.09525029296875,0.07645377835348326,0.251,-0.588,0.12213844003898303,0.839,2.055045077699438,0.3333878886410231,-0.03471738982453482,1.1865402102886677,2.4383936186461828,-0.093286376953125,0.09164887015315624,0.623,-0.544,0.13077409347952149,1.167,4.763940497875127,0.6912253543166456,0.04980565918762678,1.2117187334261112,5.7725559462026075,-0.093058203125,0.09581573314370136,0.374,-0.605,0.13356827425222934,0.979,2.800066124188602,0.7963561469012648,-0.03428867306977225,1.2170760651605401,3.4078934606167874,-0.09992758789062499,0.058406325914895904,0.193,-0.398,0.11574464017186985,0.591,1.6674638213347353,0.8683107123762537,0.023816019942675203,1.1286896167992797,1.8820491015289649,-0.09289189453125,0.06492601959337162,0.256,-0.532,0.11333266117869001,0.788,2.2588369260681915,1.4840469164743642,-0.014278677012827274,1.157003375192325,2.6134819474699538
9,2003.10.22.12.44.13,False,0.03448489092313989,-0.095882080078125,0.0808126414536745,0.413,-0.696,0.12539559920040305,1.109,3.2935765101290135,0.9381210258007915,-0.020718380969497144,1.1922074468340926,3.926626442093652,-0.09511757812499999,0.07180527898035785,0.579,-0.464,0.1191778157117024,1.043,4.858286725111932,1.6677801564616024,0.13319661975282027,1.1712796199403148,5.69041222895018,-0.09669785156249999,0.088710137478633,0.288,-0.61,0.13122485659463015,0.8979999999999999,2.194706151515697,0.12418461281358129,-0.06398046178192467,1.2104981573561877,2.6566877523480414,-0.09609072265625,0.07601220972457085,0.229,-0.479,0.12252054116682842,0.708,1.8690743431192103,0.2353506354821442,-0.056391862302055194,1.187695572967343,2.219891322869531,-0.09410791015625,0.09107296812648047,0.347,-0.574,0.1309602392993528,0.9209999999999999,2.649659177903738,0.34234900949258096,0.035391632673236785,1.2061611201331985,3.195915881991583,-0.093211181640625,0.09360286048089177,0.332,-0.693,0.13209776634389725,1.025,2.513290036530114,0.6014933242825506,0.0008154935434157532,1.213874025597429,3.050817494136719,-0.056903320312500005,0.060295623680904686,0.239,-0.388,0.08290687605775682,0.627,2.882752449067088,0.8074034248553663,-0.08103604461253294,1.227349746108439,3.538145486455971,-0.092785498046875,0.06423132430609874,0.449,-0.505,0.11284862280915028,0.954,3.9787813871627775,1.5150450896740173,0.04393874739800932,1.155154619479996,4.596107699282109
10,2003.10.22.12.49.13,False,0.031615984213834714,-0.09476796875,0.08124640057757342,0.479,-0.625,0.12482766323140276,1.104,3.8372904498904252,0.9224247392182132,0.01296544461943414,1.1958551985704438,4.588843732926182,-0.094828173828125,0.07143537915968903,0.459,-0.535,0.1187240327282797,0.994,3.8661085666665334,1.5031285576925777,0.09599633040865738,1.1718478087750537,4.5304908523346406,-0.094948779296875,0.08852838562848894,0.293,-0.491,0.12981735535726002,0.784,2.2570171699589627,-0.010146136731359334,-0.08520169476147,1.2140601690753947,2.740154646966447,-0.095156689453125,0.07576852283059836,0.298,-0.542,0.12163743091503279,0.8400000000000001,2.4499037652987052,0.18646886268966156,-0.015023709700607632,1.1870204751827353,2.9080859316368417,-0.09329409179687499,0.09197682380598324,0.435,-0.535,0.1310096320185681,0.97,3.3203665508986933,0.439724761016167,0.03539132403668514,1.210945979165954,4.020784524167899,-0.092799609375,0.09557813332640427,0.466,-0.657,0.13321766801108817,1.123,3.498034509665889,0.7637435810846296,0.032003171967537554,1.2164261310757087,4.255100584962191,-0.079500732421875,0.05982517090391225,0.286,-0.396,0.09949581664219294,0.6819999999999999,2.8744927138847833,0.957007516301084,-0.02647159202171808,1.1739872020889202,3.374617658598584,-0.09246245117187499,0.06597457604134722,0.283,-0.464,0.11358674905351801,0.747,2.4914878043270745,1.220830107032623,0.029972529585264373,1.159000529920712,2.88763568550607
