reading,filename,is_anomaly,anomaly_score,bearing1_ch1_mean,bearing1_ch1_std,bearing1_ch1_max,bearing1_ch1_min,bearing1_ch1_rms,bearing1_ch1_peak_to_peak,bearing1_ch1_crest_factor,bearing1_ch1_kurtosis,bearing1_ch1_skewness,bearing1_ch1_shape_factor,bearing1_ch1_impulse_factor,bearing2_ch1_mean,bearing2_ch1_std,bearing2_ch1_max,bearing2_ch1_min,bearing2_ch1_rms,bearing2_ch1_peak_to_peak,bearing2_ch1_crest_factor,bearing2_ch1_kurtosis,bearing2_ch1_skewness,bearing2_ch1_shape_factor,bearing2_ch1_impulse_factor,bearing3_ch1_mean,bearing3_ch1_std,bearing3_ch1_max,bearing3_ch1_min,bearing3_ch1_rms,bearing3_ch1_peak_to_peak,bearing3_ch1_crest_factor,bearing3_ch1_kurtosis,bearing3_ch1_skewness,bearing3_ch1_shape_factor,bearing3_ch1_impulse_factor,bearing4_ch1_mean,bearing4_ch1_std,bearing4_ch1_max,bearing4_ch1_min,bearing4_ch1_rms,bearing4_ch1_peak_to_peak,bearing4_ch1_crest_factor,bearing4_ch1_kurtosis,bearing4_ch1_skewness,bearing4_ch1_shape_factor,bearing4_ch1_impulse_factor
1,2004.03.04.09.27.46,True,-0.004322177084500556,-0.004714599609375,0.07962882914738013,0.547,-0.569,0.07976827615574612,1.116,6.857362680522171,1.2927203346686973,0.030876998483633178,1.2943373006244718,8.87574030131006,-0.0039047363281249996,0.096640809453284,0.527,-0.437,0.0967196620009506,0.964,5.448736989949577,0.7764505890694049,0.15204650555956878,1.284670088300434,6.999829430004365,-0.00514794921875,0.0661901180261066,0.361,-0.31,0.06639000757244083,0.671,5.437565278270201,0.592253030746698,0.08345463915491994,1.2769707305717606,6.943611705924337,-0.004330859375,0.055323314663487264,0.254,-0.303,0.05549257146935299,0.5569999999999999,4.577189221448806,0.5600537498351637,0.03884780284644323,1.276433477273681,5.842477554073511
2,2004.03.04.09.32.46,False,0.07827392684894463,-0.0051015136718749994,0.07851249214927551,0.491,-0.461,0.07867805834687569,0.952,6.240621722453801,1.1570370396433907,-0.01380656153334599,1.2945512408574393,8.078804594524458,-0.005114990234375,0.09186551614475844,0.537,-0.479,0.09200780500392684,1.016,5.836461373870197,0.7019355113544816,0.14624562844962216,1.274198974241356,7.4368130957847,-0.0063095214843749995,0.06598447265832763,0.295,-0.295,0.06628544857930264,0.59,4.4504488741155255,0.3600790024952083,0.011828603961800173,1.2689115488875555,5.647225974098809,-0.006725439453125001,0.05292505164017768,0.212,-0.249,0.053350657230751386,0.46099999999999997,3.973709247536747,0.35603597591243474,0.01390480422597673,1.2691191260670605,5.043110407478432
3,2004.03.04.09.42.46,False,0.07156428601786535,-0.002241943359375,0.07978354021715714,0.515,-0.454,0.07981503366916146,0.9690000000000001,6.452418502192316,0.8901233177107852,0.033419801653429886,1.2833641148568977,8.280802359752311,-0.0022490234375,0.09340316885508397,0.496,-0.596,0.09343024167042356,1.092,5.3087735954879225,0.9366672552759554,0.17180450000777028,1.2818658099308602,6.80513536471969,-0.0012927246093750004,0.0691739528135406,0.286,-0.286,0.06918603099445454,0.572,4.133782439737346,0.21403754224080185,0.04906007015378346,1.2622769991122011,5.217978493014371,-0.0032000976562500004,0.05260589209207428,0.278,-0.278,0.052703135654460824,0.556,5.274828462250518,0.4782946936342385,0.034237889676966456,1.2742760279979854,6.721587461247312
4,2004.03.04.09.52.46,False,0.09379114892928442,-0.0025522460937499997,0.0810422705388718,0.52,-0.552,0.08108244923667976,1.072,6.413225117091856,1.1818613896563415,-0.027040058766136698,1.2871906067004022,8.255043129375725,-0.0011150390624999997,0.09279647877503407,0.476,-0.513,0.09280317766734203,0.989,5.1291347124583115,0.37935365111175967,0.16607413053909204,1.2637633441409193,6.482012436765588,-0.002280322265625,0.06859869987474632,0.349,-0.31,0.06863659005326987,0.659,5.084751438396574,0.29935755983745693,0.0022094366360141744,1.2649162221715,6.431784580137696,-0.00437880859375,0.054669169786480676,0.269,-0.3,0.05484425302475866,0.569,4.904798318222399,0.3420583992182413,0.007403871108079758,1.2716557661531829,6.237215063185948
5,2004.03.04.10.02.46,False,0.11226998308434988,-0.00253408203125,0.07912446133392566,0.369,-0.381,0.07916502986246517,0.75,4.66114900279922,0.5857981785526976,-0.01777529251070786,1.277998691167191,5.956942324912661,-0.0007796386718750001,0.09282609183656658,0.518,-0.562,0.09282936583920724,1.08,5.580130762686073,0.5040288860548805,0.14598023912502575,1.2715220328262775,7.0952592108070425,-0.001727392578125,0.06744697679906908,0.388,-0.374,0.06746909340174304,0.762,5.750781290177766,0.39608577682708646,0.031885924988479725,1.267189064816091,7.287327165062237,-0.00344267578125,0.05380412096376953,0.227,-0.247,0.053914148877810826,0.474,4.210397543592221,0.2617782530621393,0.02347494390171871,1.2650161644206361,5.326220951281099
6,2004.03.04.10.12.46,False,0.0712900681202312,-0.0024278320312500004,0.07953503899856362,0.483,-0.432,0.0795720855380516,0.915,6.069967837766775,0.8347572200012277,0.043571823213536746,1.278551252176609,7.760764979648453,-0.0021137695312500003,0.093275113103456,0.593,-0.522,0.09329906079963372,1.115,6.355905353361585,0.6026688873457311,0.16666071524040685,1.2725824717489862,8.0884137447835,-0.0026482421875,0.06978018637817325,0.383,-0.344,0.06983042028841191,0.727,5.4847156642927635,0.4241420637501956,0.044138330627835135,1.269186539214981,6.961127292541929,-0.0030773437500000002,0.05326426483646739,0.271,-0.3,0.05335308756880898,0.571,5.079368642920503,0.4817425275901468,0.04741519966594487,1.2692255898612699,6.446864661933613
7,2004.03.04.10.22.46,False,0.003690721761991478,-0.0022083007812499994,0.08034387257771765,0.461,-0.422,0.08037421510114423,0.883,5.735670319391239,0.8307334095472525,0.05384431871144815,1.2809756244875004,7.347253869236612,-0.00167626953125,0.09521049451079357,0.579,-0.564,0.09522524951152006,1.1429999999999998,6.0803201143616254,0.7381608143236051,0.15848025247102124,1.2755394680704768,7.755688284371049,-0.0017686035156250003,0.0694766247547162,0.605,-0.381,0.06949913197805511,0.986,8.705144694339973,0.6668011350132259,0.010153554058798923,1.2742213701797973,11.092281400035272,-0.0031586914062499997,0.05523194798987568,0.242,-0.337,0.05532219636055902,0.579,4.374374408831852,0.45669514219091,-0.048172258008538436,1.270724820398298,5.558626135017766
8,2004.03.04.10.32.46,False,0.06771553730307522,-0.0009394042968750001,0.07845837925566897,0.498,-0.361,0.07846400293038443,0.859,6.346859469326849,0.9284290190464319,0.0986351590199569,1.284303825806613,8.151295898313402,-0.0011220214843749997,0.09274871494758959,0.571,-0.527,0.09275550148988805,1.0979999999999999,6.155969088930523,0.5844297796045659,0.16383761104700642,1.273296733840186,7.838375334556381,-0.0018922363281249997,0.06700373530777332,0.359,-0.354,0.06703044907738293,0.713,5.355774949166079,0.43115601109907375,0.0731368677130687,1.2682716701279115,6.792577639608093,-0.0030425781249999997,0.05377972055852718,0.239,-0.234,0.053865718458032286,0.473,4.436959291394378,0.3345211064493272,0.032144309224563544,1.2705642071892733,5.637441664401577
9,2004.03.04.10.42.46,False,0.04987244383760969,-0.002206640625,0.08009425950166996,0.527,-0.415,0.08012465081339669,0.942,6.577251752738829,1.0057903237890358,0.08089992917205448,1.2916942293680074,8.495798134113357,-0.001783251953125,0.09489467147622702,0.72,-0.527,0.0949114253507415,1.2469999999999999,7.5860203061883,0.7843827486571078,0.1800607700138587,1.2723552298858258,9.652112610598758,-0.0016600097656250003,0.07004528238486091,0.354,-0.3,0.07006494998782825,0.6539999999999999,5.052454901651927,0.3389725855675709,-0.030241349346142712,1.2657020187392312,6.394902368609768,-0.003075830078125,0.05517400353259565,0.281,-0.293,0.05525967242469299,0.5740000000000001,5.085082623009436,0.39240200526104907,0.03172764083149572,1.269164835441523,6.453808050438318
10,2004.03.04.10.52.46,False,0.11642392622665232,-0.002475927734375,0.07830113212220995,0.396,-0.439,0.07834026748592084,0.835,5.054871686150017,0.8267012277317511,0.062068876577449035,1.2850906407810292,6.495968294220408,-0.0015062011718749999,0.09416222527413377,0.522,-0.425,0.09417427095840389,0.9470000000000001,5.542915221829153,0.656042209402897,0.17149072736836288,1.2728276899687199,7.0551759774932545,-0.002296826171875,0.06932766635303733,0.359,-0.4,0.06936570285394558,0.759,5.175468354381127,0.3312445749658961,0.025426382909275555,1.2679383996815496,6.56217506285651,-0.0032265136718749995,0.05425179027642386,0.269,-0.256,0.05434765071897658,0.525,4.949615971276441,0.3937555158658954,0.0279027988054248,1.2724775000481763,6.298274957328372
